trial_no,A_aug1_type,A_aug1_magnitude,A_aug2_type,A_aug2_magnitude,B_aug1_type,B_aug1_magnitude,B_aug2_type,B_aug2_magnitude,C_aug1_type,C_aug1_magnitude,C_aug2_type,C_aug2_magnitude,D_aug1_type,D_aug1_magnitude,D_aug2_type,D_aug2_magnitude,E_aug1_type,E_aug1_magnitude,E_aug2_type,E_aug2_magnitude,mean_late_val_acc,expected_accuracy_increase(%)
0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,0.46166666666666667,0.0
-1,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,<identity>,0,0.357,-10.466666666666669
2,<Sharpness>,16,<ShearY>,30,<AutoContrast>,0,<TranslateY>,24,<ShearY>,29,<ShearX>,14,<ShearX>,1,<Equalize>,0,<Contrast>,20,<Posterize>,30,0.304,-15.766666666666667
19,<Sharpness>,8,<Sharpness>,1,<Brightness>,1,<AutoContrast>,27,<Posterize>,1,<TranslateX>,1,<Rotate>,0,<ShearX>,19,<Rotate>,0,<ShearY>,0,0.298,-16.366666666666667
17,<Brightness>,10,<TranslateY>,7,<Posterize>,21,<Equalize>,25,<TranslateY>,28,<Rotate>,0,<Posterize>,16,<identity>,30,<Solarize>,1,<identity>,3,0.2953333333333333,-16.63333333333334
10,<ShearX>,15,<Posterize>,2,<Solarize>,0,<ShearY>,12,<identity>,26,<ShearY>,9,<Sharpness>,1,<AutoContrast>,1,<Sharpness>,11,<identity>,21,0.293,-16.866666666666667
14,<Color>,13,<TranslateX>,2,<Brightness>,0,<Rotate>,30,<Posterize>,7,<Solarize>,0,<ShearY>,2,<Contrast>,5,<TranslateY>,18,<Posterize>,4,0.291,-17.06666666666667
16,<Brightness>,9,<Solarize>,7,<ShearX>,0,<Sharpness>,29,<identity>,7,<Equalize>,27,<Contrast>,0,<ShearY>,0,<AutoContrast>,0,<identity>,23,0.2896666666666667,-17.2
18,<TranslateY>,18,<Posterize>,0,<Brightness>,24,<identity>,6,<identity>,10,<ShearY>,0,<TranslateX>,13,<Equalize>,0,<Brightness>,1,<AutoContrast>,4,0.28933333333333333,-17.233333333333334
11,<AutoContrast>,1,<Posterize>,9,<Brightness>,1,<Contrast>,13,<Rotate>,16,<TranslateX>,8,<Solarize>,1,<Rotate>,0,<Solarize>,5,<Equalize>,8,0.28633333333333333,-17.533333333333335
13,<Equalize>,16,<Posterize>,28,<Contrast>,26,<identity>,29,<identity>,25,<Posterize>,0,<TranslateX>,0,<ShearX>,0,<AutoContrast>,16,<Rotate>,5,0.2853333333333334,-17.63333333333333
8,<TranslateX>,24,<Rotate>,12,<Sharpness>,0,<ShearY>,13,<AutoContrast>,22,<ShearY>,13,<Sharpness>,16,<Brightness>,21,<TranslateY>,16,<ShearX>,22,0.283,-17.86666666666667
5,<AutoContrast>,21,<Solarize>,5,<Equalize>,0,<Sharpness>,30,<AutoContrast>,18,<Sharpness>,16,<TranslateY>,2,<Contrast>,16,<Brightness>,9,<identity>,10,0.283,-17.86666666666667
7,<Sharpness>,19,<Sharpness>,22,<Solarize>,19,<Color>,19,<identity>,8,<Color>,24,<Sharpness>,3,<Sharpness>,11,<TranslateY>,8,<ShearX>,8,0.2823333333333333,-17.933333333333334
6,<Rotate>,26,<Color>,27,<AutoContrast>,2,<TranslateX>,30,<identity>,18,<Contrast>,20,<Rotate>,27,<TranslateX>,26,<Brightness>,10,<Rotate>,8,0.2806666666666667,-18.099999999999998
20,<TranslateY>,4,<ShearX>,24,<Sharpness>,8,<Rotate>,10,<identity>,3,<ShearY>,5,<Contrast>,0,<Contrast>,21,<Posterize>,0,<TranslateY>,3,0.28,-18.166666666666664
12,<Contrast>,23,<AutoContrast>,5,<Contrast>,0,<Brightness>,21,<Equalize>,21,<TranslateY>,3,<Color>,0,<Solarize>,0,<TranslateY>,2,<ShearY>,6,0.2796666666666667,-18.2
15,<AutoContrast>,10,<AutoContrast>,2,<ShearY>,1,<TranslateY>,3,<identity>,0,<Contrast>,1,<Brightness>,5,<Rotate>,1,<Brightness>,21,<ShearY>,5,0.27133333333333337,-19.03333333333333
3,<ShearX>,23,<Rotate>,0,<identity>,21,<Equalize>,8,<Brightness>,15,<TranslateX>,10,<Color>,24,<TranslateX>,7,<identity>,3,<Sharpness>,11,0.27066666666666667,-19.1
9,<Contrast>,19,<Sharpness>,0,<Brightness>,27,<identity>,21,<ShearX>,7,<Solarize>,15,<ShearX>,8,<AutoContrast>,11,<AutoContrast>,29,<Brightness>,22,0.268,-19.366666666666667
